AED, Abu Dhabi, Dirham, 72.7920, 4.8528, 01/04/2022, 30/04/2022
AED, Dubai, Dirham, 72.7920, 4.8528, 01/04/2022, 30/04/2022
AED, UAE, Dirham, 72.7920, 4.8528, 01/04/2022, 30/04/2022
ALL, Albania, Lek, 2210.2950, 147.3530, 01/04/2022, 30/04/2022
AMD, Armenia, Dram, 9674.5470, 644.9698, 01/04/2022, 30/04/2022
AOA, Angola, Readj Kwanza, 9028.4595, 601.8973, 01/04/2022, 30/04/2022
ARS, Argentina, Peso, 2183.4510, 145.5634, 01/04/2022, 30/04/2022
AUD, Australia, Dollar, 26.4285, 1.7619, 01/04/2022, 30/04/2022
AWG, Aruba, Florin, 35.4735, 2.3649, 01/04/2022, 30/04/2022
AZN, Azerbaijan, New Manat, 33.6705, 2.2447, 01/04/2022, 30/04/2022
BAM, Bosnia- Herzegovinia, Marka, 35.2320, 2.3488, 01/04/2022, 30/04/2022
BBD, Barbados, Dollar, 39.6360, 2.6424, 01/04/2022, 30/04/2022
BDT, Bangladesh, Taka, 1708.2075, 113.8805, 01/04/2022, 30/04/2022
BGN, Bulgaria, Lev, 35.2350, 2.3490, 01/04/2022, 30/04/2022
BHD, Bahrain, Dinar, 7.4730, 0.4982, 01/04/2022, 30/04/2022
BIF, Burundi, Franc, 39834.0675, 2655.6045, 01/04/2022, 30/04/2022
BMD, Bermuda, Dollar (US), 19.8180, 1.3212, 01/04/2022, 30/04/2022
BND, Brunei, Dollar, 26.9025, 1.7935, 01/04/2022, 30/04/2022
BOB, Bolivia, Boliviano, 136.9425, 9.1295, 01/04/2022, 30/04/2022
BRL, Brazil, Real, 96.0975, 6.4065, 01/04/2022, 30/04/2022
BSD, Bahamas, Dollar, 19.8180, 1.3212, 01/04/2022, 30/04/2022
BTN, Bhutan, Ngultrum, 1512.1590, 100.8106, 01/04/2022, 30/04/2022
BWP, Botswana, Pula, 228.0540, 15.2036, 01/04/2022, 30/04/2022
BYN, Belarus, Rouble, 64.8045, 4.3203, 01/04/2022, 30/04/2022
BZD, Belize, Dollar, 39.6360, 2.6424, 01/04/2022, 30/04/2022
CAD, Canada, Dollar, 24.8850, 1.6590, 01/04/2022, 30/04/2022
CDF, Congo (DemRep), Congo Fr, 39873.7020, 2658.2468, 01/04/2022, 30/04/2022
CHF, Switzerland, Franc, 18.4740, 1.2316, 01/04/2022, 30/04/2022
CLP, Chile, Peso, 15757.2450, 1050.4830, 01/04/2022, 30/04/2022
CNY, China, Yuan, 126.3255, 8.4217, 01/04/2022, 30/04/2022
COP, Colombia, Peso, 74515.5750, 4967.7050, 01/04/2022, 30/04/2022
CRC, Costa Rica, Colon, 12938.3400, 862.5560, 01/04/2022, 30/04/2022
CUP, Cuba, Peso, 19.8180, 1.3212, 01/04/2022, 30/04/2022
CVE, Cape Verde Islands, Escudo, 1994.1795, 132.9453, 01/04/2022, 30/04/2022
CZK, Czech Republic, Koruna, 443.6805, 29.5787, 01/04/2022, 30/04/2022
DJF, Djibouti, Franc, 3522.0435, 234.8029, 01/04/2022, 30/04/2022
DKK, Denmark, Krone, 134.0055, 8.9337, 01/04/2022, 30/04/2022
DOP, Dominican Republic, Peso, 1087.2120, 72.4808, 01/04/2022, 30/04/2022
DZD, Algeria, Dinar, 2822.9670, 188.1978, 01/04/2022, 30/04/2022
ECS, Ecuador, Dollar, 19.8180, 1.3212, 01/04/2022, 30/04/2022
EGP, Egypt, Pound, 364.0815, 24.2721, 01/04/2022, 30/04/2022
ERN, Eritrea, Nakfa, 297.2685, 19.8179, 01/04/2022, 30/04/2022
ETB, Ethiopia, Birr, 1014.4185, 67.6279, 01/04/2022, 30/04/2022
EUR, Eurozone, Euro, 18.0135, 1.2009, 01/04/2022, 30/04/2022
FJD, Fiji Islands, Dollar, 41.3340, 2.7556, 01/04/2022, 30/04/2022
GEL, Georgia, Lari, 64.1115, 4.2741, 01/04/2022, 30/04/2022
GHS, Ghana, Cedi, 150.1215, 10.0081, 01/04/2022, 30/04/2022
GMD, Gambia, Dalasi, 1057.2870, 70.4858, 01/04/2022, 30/04/2022
GNF, Guinea Republic, Franc, 177222.0090, 11814.8006, 01/04/2022, 30/04/2022
GTQ, Guatemala, Quetzal, 152.5005, 10.1667, 01/04/2022, 30/04/2022
GYD, Guyana, Dollar, 4145.1000, 276.3400, 01/04/2022, 30/04/2022
HKD, Hong Kong, Dollar, 155.0730, 10.3382, 01/04/2022, 30/04/2022
HNL, Honduras, Lempira, 486.4770, 32.4318, 01/04/2022, 30/04/2022
HRK, Croatia, Kuna, 136.3830, 9.0922, 01/04/2022, 30/04/2022
HTG, Haiti, Gourde, 2068.2375, 137.8825, 01/04/2022, 30/04/2022
HUF, Hungary, Forint, 6714.2145, 447.6143, 01/04/2022, 30/04/2022
IDR, Indonesia, Rupiah, 284328.3885, 18955.2259, 01/04/2022, 30/04/2022
ILS, Israel, Shekel, 63.8310, 4.2554, 01/04/2022, 30/04/2022
INR, India, Rupee, 1512.1590, 100.8106, 01/04/2022, 30/04/2022
IQD, Iraq, Dinar, 28934.1915, 1928.9461, 01/04/2022, 30/04/2022
ISK, Iceland, Krona, 2547.1995, 169.8133, 01/04/2022, 30/04/2022
JMD, Jamaica, Dollar, 3023.6385, 201.5759, 01/04/2022, 30/04/2022
JOD, Jordan, Dinar, 14.0505, 0.9367, 01/04/2022, 30/04/2022
JPY, Japan, Yen, 2398.7640, 159.9176, 01/04/2022, 30/04/2022
KES, Kenya, Schilling, 2270.1450, 151.3430, 01/04/2022, 30/04/2022
KGS, Kyrgyz Republic, Som, 1970.7690, 131.3846, 01/04/2022, 30/04/2022
KHR, Cambodia, Riel, 80203.2000, 5346.8800, 01/04/2022, 30/04/2022
KMF, Comoros, Franc, 8862.2355, 590.8157, 01/04/2022, 30/04/2022
KRW, South Korea, Won, 24054.0270, 1603.6018, 01/04/2022, 30/04/2022
KWD, Kuwait, Dinar, 6.0285, 0.4019, 01/04/2022, 30/04/2022
KYD, Cayman Islands, Dollar, 16.2510, 1.0834, 01/04/2022, 30/04/2022
KZT, Kazakhstan, Tenge, 10082.7735, 672.1849, 01/04/2022, 30/04/2022
LAK, Lao People's Dem Rep, Kip, 230185.3635, 15345.6909, 01/04/2022, 30/04/2022
LBP, Lebanon, Pound, 29968.6890, 1997.9126, 01/04/2022, 30/04/2022
LKR, Sri Lanka, Rupee, 5598.5685, 373.2379, 01/04/2022, 30/04/2022
LRD, Liberia, Dollar (US), 19.8180, 1.3212, 01/04/2022, 30/04/2022
LSL, Lesotho, Loti, 292.5135, 19.5009, 01/04/2022, 30/04/2022
LYD, Libya, Dinar, 92.1540, 6.1436, 01/04/2022, 30/04/2022
MAD, Morocco, Dirham, 191.8095, 12.7873, 01/04/2022, 30/04/2022
MDL, Moldova, Leu, 366.1365, 24.4091, 01/04/2022, 30/04/2022
MGA, Madagascar, Malagasy Ariary, 80133.8550, 5342.2570, 01/04/2022, 30/04/2022
MKD, Macedonia, Denar, 1109.2095, 73.9473, 01/04/2022, 30/04/2022
MMK, Myanmar, Kyat, 35229.6615, 2348.6441, 01/04/2022, 30/04/2022
MNT, Mongolia, Tugrik, 58066.5690, 3871.1046, 01/04/2022, 30/04/2022
MOP, Macao, Pataca, 159.7260, 10.6484, 01/04/2022, 30/04/2022
MRU, Mauritania, Ouguiya, 708.0945, 47.2063, 01/04/2022, 30/04/2022
MUR, Mauritius, Rupee, 880.9080, 58.7272, 01/04/2022, 30/04/2022
MVR, Maldive Islands, Rufiyaa, 306.1875, 20.4125, 01/04/2022, 30/04/2022
MWK, Malawi, Kwacha, 16190.3655, 1079.3577, 01/04/2022, 30/04/2022
MXN, Mexico, Mexican Peso, 399.7470, 26.6498, 01/04/2022, 30/04/2022
MYR, Malaysia, Ringgit, 83.7105, 5.5807, 01/04/2022, 30/04/2022
MZN, Mozambique, Metical, 1219.9785, 81.3319, 01/04/2022, 30/04/2022
NGN, Nigeria, Naira, 8254.1715, 550.2781, 01/04/2022, 30/04/2022
NIO, Nicaragua, Gold Cordoba, 708.7890, 47.2526, 01/04/2022, 30/04/2022
NOK, Norway, Norwegian Krone, 172.5915, 11.5061, 01/04/2022, 30/04/2022
NPR, Nepal, Rupee, 2419.4535, 161.2969, 01/04/2022, 30/04/2022
NZD, New Zealand, Dollar, 28.4295, 1.8953, 01/04/2022, 30/04/2022
OMR, Oman, Rial, 7.6320, 0.5088, 01/04/2022, 30/04/2022
PAB, Panama, Balboa, 19.8180, 1.3212, 01/04/2022, 30/04/2022
PEN, Peru, New Sol, 74.7630, 4.9842, 01/04/2022, 30/04/2022
PGK, Papua New Guinea, Kina, 69.8295, 4.6553, 01/04/2022, 30/04/2022
PHP, Philippines, Peso, 1038.4605, 69.2307, 01/04/2022, 30/04/2022
PKR, Pakistan, Rupee, 3596.9565, 239.7971, 01/04/2022, 30/04/2022
PLN, Poland, Zloty, 84.7965, 5.6531, 01/04/2022, 30/04/2022
PYG, Paraguay, Guarani, 137957.2935, 9197.1529, 01/04/2022, 30/04/2022
QAR, Qatar, Riyal, 72.1725, 4.8115, 01/04/2022, 30/04/2022
RON, Romania, New Leu, 89.0910, 5.9394, 01/04/2022, 30/04/2022
RSD, Serbia, Dinar, 2121.1140, 141.4076, 01/04/2022, 30/04/2022
RUB, Russia, Rouble, 1927.2945, 128.4863, 01/04/2022, 30/04/2022
RWF, Rwanda, Franc, 20333.2065, 1355.5471, 01/04/2022, 30/04/2022
SAR, Saudi Arabia, Riyal, 74.3385, 4.9559, 01/04/2022, 30/04/2022
SBD, Soloman Islands, Dollar, 160.4040, 10.6936, 01/04/2022, 30/04/2022
SCR, Seychelles, Rupee, 286.5720, 19.1048, 01/04/2022, 30/04/2022
SDG, Sudan Republic, Pound, 8868.5280, 591.2352, 01/04/2022, 30/04/2022
SEK, Sweden, Krona, 187.3950, 12.4930, 01/04/2022, 30/04/2022
SGD, Singapore, Dollar, 26.9025, 1.7935, 01/04/2022, 30/04/2022
SLL, Sierra Leone, Leone, 231068.5530, 15404.5702, 01/04/2022, 30/04/2022
SOS, Somali Republic, Schilling, 11593.4940, 772.8996, 01/04/2022, 30/04/2022
SRD, Surinam, Dollar, 412.0845, 27.4723, 01/04/2022, 30/04/2022
STD, Saotome & Principe, Dobra, 444912.0000, 29660.8000, 01/04/2022, 30/04/2022
SVC, El Salvador, Colon, 173.3415, 11.5561, 01/04/2022, 30/04/2022
SZL, Swaziland, Lilangeni, 292.5135, 19.5009, 01/04/2022, 30/04/2022
THB, Thailand, Baht, 665.6355, 44.3757, 01/04/2022, 30/04/2022
TMT, Turkmenistan, New Manat, 69.5610, 4.6374, 01/04/2022, 30/04/2022
TND, Tunisia, Dinar, 58.5885, 3.9059, 01/04/2022, 30/04/2022
TOP, Tonga Islands, Pa'anga (AUS), 26.4285, 1.7619, 01/04/2022, 30/04/2022
TRY, Turkey, Turkish  Lira, 294.2715, 19.6181, 01/04/2022, 30/04/2022
TTD, Trinidad/Tobago, Dollar, 134.0790, 8.9386, 01/04/2022, 30/04/2022
TWD, Taiwan, Dollar, 565.7520, 37.7168, 01/04/2022, 30/04/2022
TZS, Tanzania, Schilling, 45977.6310, 3065.1754, 01/04/2022, 30/04/2022
UAH, Ukraine, Hryvnia, 582.6480, 38.8432, 01/04/2022, 30/04/2022
UGX, Uganda, Schilling, 71641.8600, 4776.1240, 01/04/2022, 30/04/2022
USD, USA, Dollar, 19.8180, 1.3212, 01/04/2022, 30/04/2022
UYU, Uruguay, Peso, 838.2000, 55.8800, 01/04/2022, 30/04/2022
UZS, Uzbekistan, Sum, 228096.6405, 15206.4427, 01/04/2022, 30/04/2022
VEF, Venezuela, Bolivar Fuerte, 4913665.0500, 327577.6700, 01/04/2022, 30/04/2022
VND, Vietnam, Dong, 453325.5960, 30221.7064, 01/04/2022, 30/04/2022
VUV, Vanuatu, Vatu, 2215.1505, 147.6767, 01/04/2022, 30/04/2022
WST, Western Samoa, Tala, 51.0120, 3.4008, 01/04/2022, 30/04/2022
XAF, Cameroon Republic, CFA Franc, 11816.3130, 787.7542, 01/04/2022, 30/04/2022
XAF, Central African Republic, CFA Franc, 11816.3130, 787.7542, 01/04/2022, 30/04/2022
XAF, Chad, CFA Franc, 11816.3130, 787.7542, 01/04/2022, 30/04/2022
XAF, Congo (Brazaville), CFA Franc, 11816.3130, 787.7542, 01/04/2022, 30/04/2022
XAF, Equatorial Guinea, CFA Franc, 11816.3130, 787.7542, 01/04/2022, 30/04/2022
XAF, Gabon, CFA Franc, 11816.3130, 787.7542, 01/04/2022, 30/04/2022
XCD, Antigua, E Caribbean Dollar, 53.5080, 3.5672, 01/04/2022, 30/04/2022
XCD, Dominica, E Caribbean Dollar, 53.5080, 3.5672, 01/04/2022, 30/04/2022
